NLectura,Millis,Altura,AcelX,AcelY,AcelZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Estado
1,3002,0.00,0.34,0.71,0.53,-0.39,-0.03,-1.09,16.59,-32.27,27.51, 
21,3471,2332.00,-0.10,1.16,0.73,-0.50,0.02,-0.91,-8.33,118.58,-37.38,Q
41,3939,2332.00,-0.12,1.23,0.88,-0.55,0.27,-0.82,-6.79,17.85,13.79,Q
61,4406,2333.00,-0.88,1.75,0.91,-0.51,0.30,-0.77,-22.89,3.01,12.81,A
81,4879,2332.00,-0.12,-0.13,1.05,-0.51,0.32,-0.80,-3.01,15.19,3.43,Q
101,5346,2332.00,0.00,-0.89,0.91,-0.53,0.25,-0.79,29.61,-18.97,-2.52,Q
121,5813,2333.00,-0.36,1.21,0.95,-0.53,0.22,-0.76,-3.85,0.63,4.62,Q
141,6426,2333.00,-0.27,-0.21,0.97,-0.53,0.23,-0.76,1.54,-5.81,17.85,Q
161,6893,2336.00,-0.20,0.30,0.91,-0.33,0.24,-0.93,-2.94,4.69,2.66,Q
181,7360,2339.00,-0.37,-0.13,0.85,-0.33,0.24,-0.92,-3.29,1.26,1.33,Q
201,7826,2340.00,-0.58,0.55,0.80,-0.33,0.24,-0.92,-3.08,-8.26,-2.66,Q
221,8293,2341.00,0.03,-0.53,0.54,-0.32,0.29,-0.92,-4.34,-8.54,1.96,Q
241,8761,2342.00,-0.75,1.42,0.84,-0.51,0.28,-0.77,38.92,-66.85,-13.72,Q
261,9230,2341.00,0.07,0.47,0.31,-0.46,-0.02,-1.10,17.29,-52.22,-7.77,D
281,9844,2341.00,0.28,0.89,0.23,-0.43,-0.23,-1.09,-9.94,85.89,23.38,Q
301,10313,2341.00,0.28,-0.80,0.85,-0.48,0.09,-0.90,-52.08,149.10,42.70,Q
321,10782,2341.00,-0.27,0.00,0.80,-0.54,0.28,-0.78,6.23,1.12,4.55,Q
341,11251,2340.00,-0.05,0.82,1.05,-0.54,0.25,-0.76,-16.87,14.77,-2.94,Q
361,11719,2340.00,-0.49,0.73,0.83,-0.32,0.23,-0.88,-0.77,-0.21,-3.22,Q
381,12187,2342.00,-0.41,1.01,0.71,-0.30,0.22,-0.84,-5.25,10.78,-0.56,Q
401,12655,2343.00,-0.51,0.12,0.57,-0.30,0.24,-0.82,3.57,-0.98,4.62,Q
421,13251,2345.00,-0.51,-0.48,0.47,-0.29,0.25,-0.87,34.37,-131.74,-10.22,Q
441,13721,2346.00,0.02,0.56,0.51,-0.38,-0.18,-0.91,12.25,-81.20,-8.89,Q
461,14190,2345.00,0.65,0.36,0.02,-0.40,-0.23,-1.08,0.49,-15.54,3.50,Q
