NLectura,Millis,Altura,AcelX,AcelY,AcelZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Estado
1,2870,0.00,-0.69,0.02,0.75,-0.28,0.48,-0.19,0.84,-1.89,1.33, 
2,2893,0.00,-0.70,0.01,0.68,-0.28,0.48,-0.19,0.77,-3.99,1.82, 
3,2918,0.00,-0.64,0.03,0.73,-0.28,0.48,-0.19,0.14,-4.62,1.19, 
4,2941,0.00,-0.68,0.05,0.73,-0.09,0.48,-0.37,0.49,-7.14,-0.07, 
5,2965,0.00,-0.66,-0.04,0.72,-0.09,0.48,-0.37,1.12,-5.53,0.14, 
6,2990,0.00,-0.50,0.04,0.69,-0.09,0.48,-0.37,4.13,-3.01,-0.28, 
7,3013,0.00,-0.62,-0.03,0.70,-0.28,0.48,-0.20,1.82,-5.88,-0.07, 
8,3042,0.00,-0.64,0.00,0.66,-0.28,0.48,-0.20,0.70,-6.86,1.54, 
9,3065,3087.00,-0.62,-0.06,0.69,-0.10,0.48,-0.37,0.91,-4.13,0.63,Q
10,3090,3086.00,-0.67,0.02,0.73,-0.10,0.48,-0.37,2.66,2.94,-0.28,D
11,3115,3086.00,-0.61,0.00,0.72,-0.10,0.48,-0.37,0.91,2.59,-0.35,Q
12,3138,3086.00,-0.66,0.02,0.76,-0.28,0.49,-0.19,0.28,0.49,-0.07,Q
13,3163,3086.00,-0.69,0.09,0.75,-0.28,0.49,-0.19,0.42,-2.87,0.14,Q
14,3187,3086.00,-0.61,0.08,0.71,-0.28,0.49,-0.19,0.49,-3.57,0.77,Q
15,3211,3086.00,-0.63,0.05,0.73,-0.28,0.48,-0.19,0.84,-2.45,0.70,Q
16,3239,3087.00,-0.62,0.05,0.73,-0.28,0.48,-0.19,0.98,-0.56,0.07,A
17,3264,3087.00,-0.64,0.01,0.73,-0.28,0.48,-0.19,1.26,-0.91,0.84,Q
18,3288,3087.00,-0.60,0.00,0.70,-0.29,0.48,-0.19,0.77,0.49,1.61,Q
19,3312,3087.00,-0.68,0.02,0.73,-0.29,0.48,-0.19,0.49,-0.14,1.75,Q
20,3337,3087.00,-0.63,0.02,0.73,-0.29,0.48,-0.19,1.05,-3.15,0.56,Q
21,3375,3087.00,-0.63,0.06,0.73,-0.29,0.48,-0.19,-0.07,-2.17,1.26,Q
22,3399,3087.00,-0.66,0.02,0.75,-0.29,0.48,-0.19,-0.21,-0.14,1.47,Q
23,3428,3087.00,-0.63,0.00,0.72,-0.09,0.48,-0.37,0.35,-0.21,1.68,Q
24,3451,3086.00,-0.60,0.01,0.82,-0.09,0.48,-0.37,-0.35,-1.05,1.19,D
25,3476,3086.00,-0.61,0.05,0.78,-0.09,0.49,-0.37,0.35,-1.40,0.77,Q
26,3501,3086.00,-0.66,0.04,0.75,-0.09,0.49,-0.37,0.77,-1.40,0.84,Q
27,3524,3086.00,-0.60,0.07,0.72,-0.09,0.49,-0.37,1.05,-0.56,1.33,Q
28,3549,3086.00,-0.66,0.01,0.73,-0.28,0.48,-0.19,0.70,-1.05,0.77,Q
29,3573,3086.00,-0.64,-0.02,0.74,-0.28,0.48,-0.19,0.07,-1.40,0.21,Q
30,3597,3086.00,-0.66,0.02,0.75,-0.28,0.48,-0.19,0.35,-1.33,1.12,Q
31,3625,3086.00,-0.61,0.00,0.71,-0.28,0.48,-0.19,0.14,-0.42,2.03,Q
32,3650,3086.00,-0.60,0.00,0.74,-0.28,0.48,-0.19,0.49,1.47,0.84,Q
33,3674,3086.00,-0.63,-0.01,0.76,-0.28,0.48,-0.19,0.77,0.07,1.12,Q
34,3698,3086.00,-0.53,0.00,0.73,-0.28,0.48,-0.19,0.63,-0.91,0.63,Q
35,3723,3086.00,-0.63,0.02,0.84,-0.28,0.48,-0.19,0.91,-2.03,0.00,Q
36,3746,3086.00,-0.67,0.00,0.71,-0.28,0.49,-0.19,0.70,-0.77,0.28,Q
37,3771,3086.00,-0.62,0.01,0.75,-0.28,0.49,-0.19,0.35,-0.14,1.89,Q
38,3800,3086.00,-0.58,0.06,0.75,-0.28,0.49,-0.19,0.14,-0.84,1.61,Q
39,3823,3086.00,-0.73,0.03,0.71,-0.09,0.49,-0.37,-0.84,-2.38,0.56,Q
40,3848,3087.00,-0.65,0.02,0.70,-0.09,0.49,-0.37,-0.56,-0.63,0.49,A
41,3887,3087.00,-0.68,0.09,0.73,-0.27,0.48,-0.19,0.63,0.70,4.41,Q
42,3910,3087.00,-0.73,0.07,0.73,-0.27,0.48,-0.19,0.07,-0.63,2.45,Q
43,3935,3087.00,-0.68,0.00,0.76,-0.27,0.48,-0.19,-0.49,-7.77,-1.19,Q
44,3959,3087.00,-0.58,0.11,0.81,-0.28,0.48,-0.19,-0.84,-8.75,-2.17,Q
45,3983,3087.00,-0-0.10,-0.85,0.56,4.41,0.70,Q,0.000000,0.000000,0.00
1375,46050,0:0,2362.00,0.62,0.00,-0.66,-0.00,-0.09,-0.85,-1.68,23.59,0.14,Q,0.000000,0.000000,0.00
1376,46080,0:0,2362.00
