NLectura,Millis,Altura,AcelX,AcelY,AcelZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Estado
1,2910,0.00,-0.02,1.05,-0.03,-0.51,0.04,-1.02,0.98,-0.70,2.03, 
21,3383,2329.00,-0.05,0.99,-0.05,-0.51,0.04,-0.99,0.07,-0.49,0.56,Q
41,3848,2329.00,-0.03,1.05,-0.07,-0.52,0.04,-1.00,1.26,-0.77,0.91,Q
61,4313,2330.00,-0.10,1.05,-0.02,-0.51,0.04,-0.99,-0.14,-0.42,1.96,Q
81,4779,2330.00,0.00,1.03,0.00,-0.52,0.04,-1.00,3.57,-0.84,2.66,Q
101,5243,2330.00,-0.05,1.05,-0.01,-0.51,0.04,-0.99,-0.49,-0.70,0.42,Q
121,5710,2329.00,-0.11,1.05,0.02,-0.50,0.04,-0.99,-31.99,43.75,-10.50,Q
141,6184,2330.00,-0.23,0.88,0.63,-0.42,0.16,-1.02,-61.25,15.89,-4.06,Q
161,6652,2330.00,-0.23,0.84,0.62,-0.40,0.05,-0.85,-2.87,7.91,-5.81,Q
181,7118,2330.00,-0.15,0.86,0.59,-0.40,0.07,-0.86,3.43,0.21,0.56,Q
201,7586,2329.00,-0.20,0.87,0.52,-0.55,0.23,-0.82,-40.95,47.60,7.70,Q
221,8055,2330.00,0.00,1.00,0.16,-0.48,0.15,-1.06,141.61,-63.91,-43.19,Q
241,8524,2330.00,-0.07,1.05,0.07,-0.45,-0.16,-1.03,-5.81,-0.70,-0.07,Q
261,8990,2330.00,0.00,1.05,0.05,-0.45,-0.15,-1.03,-0.42,-0.56,0.49,Q
281,9462,2331.00,0.03,1.00,0.04,-0.45,-0.16,-1.03,0.63,-0.28,4.69,Q
301,9929,2330.00,0.06,1.05,-0.02,-0.45,-0.16,-1.04,5.95,-0.49,11.76,Q
321,10396,2330.00,-0.09,1.09,0.00,-0.45,-0.16,-1.03,-0.42,-0.56,-0.56,Q
