NLectura,Millis,Altura,AcelX,AcelY,AcelZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Estado
1,2723,0.00,0.05,0.10,1.04,-0.41,0.19,-0.92,1.54,-0.70,1.26, 
21,3187,2328.00,0.30,-0.25,1.00,-0.43,0.02,-0.73,1.61,-0.42,1.26,Q
41,3652,2328.00,-0.09,0.84,1.11,-0.42,0.01,-0.73,0.98,-0.77,1.12,Q
61,4118,2329.00,0.00,-0.82,1.11,-0.42,0.18,-0.93,1.40,-0.35,1.19,Q
81,4583,2329.00,0.18,0.09,0.87,-0.42,0.01,-0.74,1.68,-0.63,1.40,Q
101,5049,2330.00,0.32,0.58,1.05,-0.42,0.02,-0.72,1.12,-0.70,1.33,A
121,5515,2329.00,-0.08,0.19,0.88,-0.42,0.17,-0.92,1.26,-0.42,1.33,Q
141,6127,2330.00,-0.26,0.09,1.06,-0.42,0.18,-0.93,0.77,-0.77,1.05,Q
161,6593,2330.00,-0.33,0.13,1.24,-0.43,0.19,-0.92,2.03,-23.24,2.17,Q
181,7061,2330.00,-0.13,1.12,1.13,-0.45,0.00,-0.74,-8.89,151.90,-11.06,Q
201,7529,2330.00,0.12,0.09,0.99,-0.40,0.02,-0.73,-2.52,61.46,-2.03,Q
221,7996,2330.00,-0.40,0.58,0.91,-0.52,0.26,-0.69,1.54,-7.63,1.61,Q
