Dato	Millis	Temp	Presion	AejeX	AejeY	AejeZ	GejeX	GejeY	GejeZ	MejeX	MejeY	MejeZ	Altura	AltMediaMovil	Pendiente
2275	115798	22,1	77003	-0,16	-0,2	0,95	8,78	-0,17	12,45	-0,04	-0,06	-0,03	2372,5	2373	2373
2276	115845	22,1	77000	-0,11	-0,15	0,8	8,79	-0,17	12,46	-0,05	-0,06	-0,03	2372,83	2373	2373
2277	115891	22,1	77006	-0,13	-0,19	0,93	8,79	-0,17	12,46	-0,04	-0,06	-0,03	2372,16	2373	2373
2278	115937	22,1	77003	-0,18	-0,18	0,93	8,8	-0,17	12,46	-0,05	-0,06	-0,03	2372,5	2373	2373
2279	115983	22,1	77003	-0,16	-0,19	0,96	8,81	-0,17	12,47	-0,04	-0,06	-0,02	2372,5	2373	2373
2280	116047	22,1	77001	-0,2	-0,22	0,95	8,81	-0,17	12,47	-0,05	-0,06	-0,03	2372,72	2373	2373
2281	116093	22,1	76992	-0,23	-0,2	0,89	8,81	-0,17	12,48	-0,05	-0,06	-0,03	2373,73	2373	2373
2282	116140	22,2	77003	-0,11	-0,16	0,84	8,82	-0,12	12,49	-0,05	-0,06	-0,03	2373,3	2373	2373
2283	116186	22,1	77000	-0,11	-0,2	0,94	8,82	-0,09	12,49	-0,05	-0,06	-0,03	2372,83	2373	2373
2284	116232	22,1	76995	-0,16	-0,21	0,91	8,83	-0,09	12,5	-0,04	-0,06	-0,03	2373,39	2373	2373
2285	116284	22,1	76997	-0,1	-0,23	0,9	8,83	-0,09	12,51	-0,05	-0,06	-0,03	2373,17	2373	2373
2286	116330	22,2	77009	-0,1	-0,27	0,88	8,84	-0,09	12,51	-0,04	-0,06	-0,03	2372,63	2373	2373
2287	116377	22,1	76989	-0,15	-0,2	0,83	8,84	-0,09	12,52	-0,05	-0,06	-0,03	2374,07	2373	2373
2288	116423	22,1	76997	-0,08	-0,2	0,92	8,84	-0,14	12,52	-0,04	-0,06	-0,03	2373,17	2373	2373
2289	116469	22,1	76992	-0,13	-0,16	0,86	8,84	-0,19	12,53	-0,05	-0,06	-0,03	2373,73	2373	2373
2290	116521	22,1	77003	-0,15	-0,21	1	8,85	-0,19	12,53	-0,04	-0,06	-0,03	2372,5	2373	2373
2291	116568	22,1	77003	-0,12	-0,26	0,9	8,85	-0,19	12,54	-0,05	-0,06	-0,03	2372,5	2373	2373
2292	116620	22,2	77006	-0,11	-0,2	0,89	8,85	-0,19	12,54	-0,04	-0,06	-0,03	2372,96	2373	2373
2293	116666	22,1	77003	-0,2	-0,16	0,91	8,85	-0,19	12,55	-0,05	-0,06	-0,03	2372,5	2373	2373
2294	116712	22,1	77003	-0,12	-0,16	0,88	8,86	-0,2	12,55	-0,05	-0,06	-0,03	2372,5	2373	2373
2295	116764	22,2	77005	-0,19	-0,14	0,99	8,86	-0,2	12,55	-0,05	-0,06	-0,03	2373,07	2373	2373
2296	116810	22,1	76997	-0,16	-0,22	0,93	8,86	-0,2	12,56	-0,05	-0,06	-0,03	2373,17	2373	2373
2297	116857	22,1	76997	-0,12	-0,19	0,95	8,87	-0,14	12,57	-0,05	-0,06	-0,03	2373,17	2373	2373
2298	116903	22,1	76995	-0,14	-0,16	0,98	8,87	-0,19	12,57	-0,04	-0,06	-0,03	2373,39	2373	2373
2299	116950	22,1	76997	-0,15	-0,22	0,96	8,87	-0,19	12,58	-0,05	-0,06	-0,03	2373,17	2373	2373
2300	117001	22,1	76992	-0,12	-0,18	0,91	8,88	-0,19	12,58	-0,05	-0,06	-0,03	2373,73	2373	2373
2301	117047	22,1	77006	-0,16	-0,17	0,95	8,88	-0,19	12,58	-0,04	-0,06	-0,03	2372,16	2373	2373
2302	117093	22,1	77000	-0,16	-0,25	0,88	8,88	-0,25	12,59	-0,05	-0,06	-0,03	2372,83	2373	2373
2303	117140	22,1	76997	-0,07	-0,22	0,88	8,89	-0,25	12,59	-0,05	-0,06	-0,03	2373,17	2373	2373
2304	117186	22,1	76995	-0,09	-0,25	0,99	8,89	-0,25	12,6	-0,05	-0,05	-0,03	2373,39	2373	2373
2305	117249	22,2	76995	-0,11	-0,2	0,95	8,89	-0,25	12,55	-0,04	-0,06	-0,03	2374,2	2373	2373
2306	117447	22,1	76997	-0,11	-0,2	0,91	8,9	-0,28	12,56	-0,05	-0,06	-0,03	2373,17	2373	2373
2307	117788	22,1	76997	-0,13	-0,21	0,94	8,9	-0,29	12,56	-0,04	-0,06	-0,03	2373,17	2373	2373
