Dato	Millis	Temp	Presion	AejeX	AejeY	AejeZ	GejeX	GejeY	GejeZ	MejeX	MejeY	MejeZ	Altura	AltMediaMovil	Pendiente
1	6482	21,5	77011	-0,05	-0,2	0,99	-0,01	0,05	0,04	-0,05	-0,06	-0,03	2366,78	0	0
2	6530	21,5	77021	-0,2	-0,23	0,98	0	0,04	0,04	-0,04	-0,07	-0,03	2365,66	0	0
3	6573	21,4	77006	-0,12	-0,25	0,88	0	0,04	0,04	-0,04	-0,06	-0,03	2366,53	0	0
4	6622	21,4	77003	-0,05	-0,15	0,94	0,01	0,09	0,05	-0,04	-0,06	-0,03	2366,87	0	0
5	6665	21,5	77008	-0,09	-0,24	0,91	0,01	0,09	0,05	-0,04	-0,06	-0,03	2367,11	0	0
6	6854	21,5	77005	-0,07	-0,25	0,99	0,02	0,09	0,06	-0,05	-0,06	-0,03	2367,45	0	0
7	6897	21,5	77005	-0,1	-0,2	0,96	0,02	0,09	0,06	-0,04	-0,07	-0,03	2367,45	0	0
8	6940	21,4	77016	-0,15	-0,19	0,89	0,03	0,09	0,07	-0,04	-0,07	-0,03	2365,42	0	0
9	6982	21,5	77011	-0,13	-0,18	0,95	0,03	0,09	0,07	-0,04	-0,06	-0,03	2366,78	2367	0
10	7026	21,5	77011	-0,19	-0,25	0,88	0,03	0,09	0,08	-0,05	-0,06	-0,03	2366,78	2367	2367
11	7215	21,5	77011	-0,16	-0,13	0,93	0,04	0,09	0,08	-0,04	-0,06	-0,03	2366,78	2367	2367
12	7259	21,5	77015	-0,15	-0,22	0,99	0,04	0,09	0,09	-0,05	-0,06	-0,03	2366,33	2367	2367
13	7302	21,5	77005	-0,12	-0,2	1	0,05	0,09	0,09	-0,05	-0,06	-0,03	2367,45	2367	2367
14	7345	21,5	77002	-0,11	-0,23	0,87	0,05	0,08	0,1	-0,04	-0,07	-0,03	2367,79	2367	2367
15	7388	21,5	77005	-0,05	-0,18	0,95	0,05	0,09	0,11	-0,04	-0,06	-0,03	2367,45	2367	2367
16	7431	21,5	77005	-0,16	-0,2	0,9	0,06	0,08	0,12	-0,05	-0,06	-0,03	2367,45	2367	2367
17	7610	21,5	77005	-0,15	-0,16	0,93	0,07	0,08	0,13	-0,04	-0,06	-0,03	2367,45	2367	2367
18	7654	21,5	77008	-0,19	-0,19	0,91	0,07	0,12	0,13	-0,05	-0,06	-0,03	2367,11	2367	2367
19	7697	21,5	77005	-0,16	-0,23	0,88	0,07	0,12	0,14	-0,05	-0,06	-0,03	2367,45	2367	2367
20	7740	21,5	77007	-0,12	-0,23	0,93	0,07	0,12	0,15	-0,04	-0,07	-0,03	2367,23	2367	2367
21	7784	21,5	77002	-0,16	-0,24	0,94	0,08	0,12	0,15	-0,04	-0,06	-0,03	2367,79	2367	2367
22	7833	21,5	77007	-0,16	-0,17	0,91	0,08	0,12	0,16	-0,04	-0,06	-0,03	2367,23	2367	2367
23	7876	21,5	76999	-0,21	-0,2	0,88	0,08	0,12	0,17	-0,04	-0,07	-0,02	2368,12	2367	2367
24	7919	21,5	77005	-0,13	-0,2	0,91	0,08	0,11	0,18	-0,04	-0,06	-0,03	2367,45	2367	2367
25	7963	21,5	77014	-0,04	-0,22	0,91	0,09	0,17	0,18	-0,04	-0,07	-0,03	2366,44	2367	2367
26	8018	21,5	77007	-0,1	-0,23	1	0,09	0,17	0,19	-0,04	-0,06	-0,03	2367,23	2367	2367
27	8068	21,5	77014	-0,09	-0,16	0,94	0,1	0,16	0,2	-0,05	-0,06	-0,02	2366,44	2367	2367
28	8111	21,5	76997	-0,11	-0,26	0,82	0,1	0,16	0,2	-0,04	-0,06	-0,03	2368,35	2367	2367
29	8154	21,5	76996	-0,15	-0,19	1,04	0,1	0,16	0,21	-0,04	-0,07	-0,02	2368,46	2367	2367
30	8197	21,5	76997	-0,01	-0,19	0,91	0,11	0,16	0,22	-0,04	-0,06	-0,03	2368,35	2367	2367
31	8246	21,5	77010	-0,11	-0,21	0,91	0,11	0,16	0,22	-0,05	-0,06	-0,03	2366,89	2368	2368
32	8300	21,5	77010	-0,19	-0,21	0,88	0,12	0,16	0,23	-0,04	-0,07	-0,03	2366,89	2367	2367
33	8343	21,5	76994	-0,1	-0,14	0,88	0,12	0,16	0,24	-0,04	-0,07	-0,03	2368,68	2367	2367
34	8387	21,5	76994	-0,15	-0,23	0,97	0,12	0,2	0,25	-0,04	-0,06	-0,03	2368,68	2368	2368
35	8430	21,5	76993	-0,1	-0,19	0,89	0,13	0,2	0,25	-0,04	-0,06	-0,02	2368,8	2368	2368
36	8473	21,5	77014	-0,14	-0,23	0,88	0,13	0,2	0,26	-0,04	-0,06	-0,03	2366,44	2368	2368
37	8517	21,5	77010	-0,09	-0,19	0,94	0,13	0,2	0,27	-0,04	-0,06	-0,03	2366,89	2368	2368
38	8573	21,5	76996	-0,16	-0,1	0,94	0,14	0,2	0,28	-0,04	-0,06	-0,03	2368,46	2368	2368
39	8617	21,5	77010	-0,13	-0,17	0,93	0,14	0,16	0,28	-0,04	-0,06	-0,03	2366,89	2368	2368
40	8660	21,5	77014	-0,15	-0,15	0,9	0,15	0,16	0,29	-0,05	-0,06	-0,03	2366,44	2368	2368
41	8711	21,5	76996	-0,12	-0,2	0,91	0,15	0,17	0,29	-0,04	-0,07	-0,02	2368,46	2368	2368
42	8754	21,5	77001	-0,15	-0,2	0,93	0,15	0,17	0,3	-0,04	-0,06	-0,03	2367,9	2368	2368
43	8801	21,5	77002	-0,07	-0,22	0,94	0,16	0,17	0,31	-0,04	-0,06	-0,03	2367,79	2368	2368
44	8845	21,5	77001	-0,09	-0,23	0,98	0,16	0,22	0,31	-0,04	-0,06	-0,02	2367,9	2367	2367
45	8888	21,5	77010	-0,14	-0,17	0,98	0,16	0,22	0,32	-0,05	-0,06	-0,03	2366,89	2368	2368
46	8931	21,5	77007	-0,16	-0,19	1,03	0,17	0,22	0,32	-0,04	-0,06	-0,03	2367,23	2368	2368
47	8975	21,5	76997	-0,08	-0,13	0,9	0,17	0,25	0,33	-0,04	-0,06	-0,03	2368,35	2367	2367
48	9023	21,5	77007	-0,12	-0,18	0,95	0,18	0,25	0,33	-0,04	-0,06	-0,03	2367,23	2368	2368
49	9067	21,5	77001	-0,1	-0,15	0,86	0,18	0,25	0,34	-0,05	-0,06	-0,03	2367,9	2368	2368
50	9110	21,5	77010	-0,12	-0,2	0,99	0,18	0,26	0,35	-0,04	-0,07	-0,03	2366,89	2368	2368
51	9153	21,5	77007	-0,16	-0,16	0,89	0,19	0,26	0,36	-0,04	-0,06	-0,03	2367,23	2368	2368
52	9197	21,5	77014	-0,12	-0,1	0,84	0,19	0,26	0,35	-0,04	-0,06	-0,03	2366,44	2367	2367
53	9246	21,5	77007	-0,13	-0,23	0,9	0,19	0,26	0,37	-0,04	-0,06	-0,02	2367,23	2367	2367
54	9302	21,5	77004	-0,12	-0,17	1	0,2	0,26	0,37	-0,04	-0,07	-0,02	2367,56	2367	2367
55	9345	21,5	77007	-0,09	-0,23	0,84	0,21	0,26	0,38	-0,04	-0,06	-0,03	2367,23	2367	2367
56	9388	21,5	77007	-0,14	-0,16	0,92	0,21	0,26	0,38	-0,04	-0,06	-0,03	2367,23	2367	2367
57	9431	21,5	77014	-0,2	-0,2	0,98	0,22	0,26	0,39	-0,05	-0,06	-0,03	2366,44	2367	2367
58	9480	21,5	77007	-0,17	-0,16	0,89	0,22	0,26	0,39	-0,05	-0,06	-0,03	2367,23	2367	2367
59	9524	21,5	76996	-0,09	-0,19	0,98	0,22	0,26	0,4	-0,04	-0,07	-0,03	2368,46	2367	2367
60	9567	21,5	77007	-0,14	-0,15	0,94	0,23	0,26	0,4	-0,04	-0,06	-0,02	2367,23	2367	2367
61	9610	21,5	77001	-0,16	-0,19	0,92	0,23	0,26	0,41	-0,04	-0,06	-0,03	2367,9	2367	2367
62	9653	21,5	77005	-0,16	-0,2	0,91	0,23	0,31	0,41	-0,04	-0,06	-0,02	2367,45	2367	2367
63	9702	21,5	76996	-0,13	-0,22	0,96	0,24	0,31	0,41	-0,04	-0,06	-0,03	2368,46	2367	2367
64	9751	21,5	76996	-0,16	-0,17	0,94	0,24	0,31	0,42	-0,04	-0,06	-0,03	2368,46	2368	2368
65	9794	21,5	77007	-0,12	-0,13	0,9	0,25	0,31	0,43	-0,04	-0,06	-0,03	2367,23	2368	2368
66	9838	21,5	76998	-0,14	-0,15	0,89	0,26	0,3	0,43	-0,04	-0,06	-0,03	2368,23	2368	2368
67	9881	21,5	77007	-0,07	-0,25	0,89	0,26	0,3	0,44	-0,05	-0,06	-0,03	2367,23	2368	2368
68	9929	21,5	76987	-0,16	-0,27	0,84	0,26	0,3	0,45	-0,04	-0,07	-0,02	2369,47	2368	2368
69	9978	21,5	76998	-0,14	-0,16	0,93	0,27	0,3	0,45	-0,04	-0,06	-0,02	2368,23	2368	2368
70	10021	21,5	77016	-0,18	-0,16	1,12	0,27	0,3	0,46	-0,05	-0,06	-0,03	2366,22	2368	2368
71	10065	21,5	77001	-0,09	-0,16	0,91	0,27	0,34	0,46	-0,04	-0,06	-0,02	2367,9	2368	2368
72	10108	21,5	77004	-0,16	-0,2	0,94	0,28	0,34	0,47	-0,04	-0,07	-0,03	2367,56	2368	2368
73	10151	21,5	77010	-0,1	-0,3	0,85	0,28	0,34	0,48	-0,04	-0,06	-0,03	2366,89	2368	2368
74	10201	21,5	77001	-0,1	-0,15	0,89	0,28	0,34	0,48	-0,04	-0,06	-0,02	2367,9	2368	2368
75	10245	21,5	77007	-0,09	-0,22	0,94	0,29	0,39	0,5	-0,05	-0,06	-0,03	2367,23	2368	2368
76	10288	21,5	77003	-0,13	-0,22	0,84	0,29	0,39	0,5	-0,04	-0,06	-0,03	2367,67	2368	2368
77	10331	21,5	76989	-0,16	-0,2	0,9	0,29	0,39	0,5	-0,04	-0,07	-0,03	2369,24	2367	2367
78	10375	21,5	77001	-0,19	-0,18	0,96	0,3	0,39	0,5	-0,05	-0,06	-0,03	2367,9	2368	2368
79	10424	21,5	76998	-0,15	-0,16	0,99	0,3	0,39	0,44	-0,05	-0,06	-0,03	2368,23	2368	2368
80	10474	21,5	76995	-0,1	-0,16	0,91	0,31	0,39	0,44	-0,04	-0,07	-0,03	2368,57	2368	2368
81	10517	21,5	77007	-0,17	-0,16	0,91	0,31	0,39	0,45	-0,04	-0,07	-0,03	2367,23	2368	2368
82	10572	21,5	76998	-0,16	-0,18	0,88	0,32	0,39	0,45	-0,04	-0,06	-0,03	2368,23	2368	2368
83	10616	21,5	77010	-0,05	-0,19	0,98	0,32	0,38	0,46	-0,04	-0,06	-0,03	2366,89	2368	2368
84	10665	21,5	77001	-0,17	-0,18	0,84	0,32	0,38	0,47	-0,04	-0,06	-0,03	2367,9	2368	2368
85	10708	21,5	77007	-0,12	-0,24	0,93	0,33	0,38	0,48	-0,04	-0,06	-0,03	2367,23	2368	2368
86	10752	21,5	77007	-0,11	-0,14	0,91	0,33	0,38	0,49	-0,04	-0,07	-0,03	2367,23	2368	2368
87	10796	21,5	77001	-0,16	-0,2	0,91	0,34	0,38	0,49	-0,05	-0,06	-0,03	2367,9	2368	2368
88	10839	21,5	77010	-0,16	-0,22	0,98	0,34	0,38	0,5	-0,05	-0,06	-0,03	2366,89	2368	2368
89	10882	21,5	77006	-0,12	-0,23	0,84	0,35	0,43	0,51	-0,05	-0,07	-0,03	2367,34	2367	2367
90	10931	21,5	77001	-0,17	-0,2	0,9	0,36	0,43	0,52	-0,04	-0,06	-0,02	2367,9	2367	2367
91	10975	21,5	77001	-0,15	-0,21	0,94	0,36	0,43	0,52	-0,05	-0,06	-0,03	2367,9	2367	2367
92	11018	21,5	76998	-0,11	-0,18	0,99	0,37	0,48	0,52	-0,05	-0,06	-0,03	2368,23	2368	2368
93	11061	21,5	77010	-0,16	-0,19	0,99	0,37	0,48	0,53	-0,04	-0,07	-0,02	2366,89	2368	2368
94	11110	21,5	77000	-0,12	-0,2	0,91	0,37	0,48	0,53	-0,04	-0,06	-0,03	2368,01	2368	2368
95	11159	21,5	77001	-0,12	-0,16	0,88	0,37	0,48	0,54	-0,04	-0,06	-0,03	2367,9	2368	2368
96	11202	21,5	77007	-0,1	-0,2	0,83	0,38	0,48	0,55	-0,05	-0,06	-0,03	2367,23	2368	2368
97	11246	21,5	77001	-0,21	-0,18	0,97	0,38	0,48	0,56	-0,05	-0,06	-0,03	2367,9	2368	2368
98	11289	21,5	77001	-0,09	-0,16	0,87	0,38	0,48	0,56	-0,04	-0,07	-0,03	2367,9	2368	2368
99	11332	21,5	77007	-0,12	-0,16	0,88	0,39	0,47	0,57	-0,04	-0,06	-0,03	2367,23	2368	2368
100	11381	21,5	77003	-0,13	-0,17	0,99	0,4	0,48	0,58	-0,05	-0,06	-0,03	2367,67	2368	2368
101	11425	21,5	77000	-0,07	-0,19	0,89	0,4	0,48	0,58	-0,04	-0,06	-0,02	2368,01	2368	2368
102	11468	21,5	77015	-0,12	-0,09	0,9	0,4	0,43	0,59	-0,04	-0,06	-0,02	2366,33	2368	2368
103	11512	21,5	77005	-0,16	-0,23	0,94	0,41	0,42	0,6	-0,04	-0,07	-0,02	2367,45	2368	2368
104	11560	21,5	76998	-0,04	-0,24	1,02	0,41	0,42	0,61	-0,04	-0,06	-0,02	2368,23	2367	2367
105	11610	21,5	77011	-0,13	-0,17	0,91	0,41	0,42	0,62	-0,05	-0,06	-0,03	2366,78	2368	2368
106	11654	21,5	77015	-0,15	-0,17	0,91	0,41	0,42	0,62	-0,05	-0,06	-0,03	2366,33	2367	2367
107	11697	21,5	77011	-0,12	-0,17	0,89	0,42	0,42	0,63	-0,04	-0,07	-0,03	2366,78	2367	2367
108	11740	21,5	77005	-0,1	-0,14	0,98	0,43	0,42	0,64	-0,04	-0,06	-0,03	2367,45	2367	2367
109	11784	21,5	77001	-0,1	-0,16	0,99	0,44	0,41	0,59	-0,05	-0,06	-0,03	2367,9	2367	2367
110	11845	21,5	77004	-0,12	-0,18	0,9	0,44	0,41	0,6	-0,04	-0,06	-0,03	2367,56	2367	2367
111	11888	21,5	77005	-0,09	-0,21	0,96	0,44	0,41	0,6	-0,04	-0,07	-0,03	2367,45	2367	2367
112	11931	21,5	77015	-0,13	-0,21	0,93	0,45	0,41	0,61	-0,04	-0,06	-0,03	2366,33	2367	2367
113	11975	21,5	77008	-0,1	-0,23	0,89	0,45	0,44	0,61	-0,05	-0,06	-0,03	2367,11	2367	2367
114	12018	21,5	77011	-0,13	-0,18	0,92	0,46	0,44	0,62	-0,05	-0,06	-0,03	2366,78	2367	2367
115	12067	21,5	77003	-0,06	-0,16	0,91	0,46	0,44	0,62	-0,04	-0,06	-0,03	2367,67	2367	2367
116	12111	21,5	76997	-0,1	-0,2	0,87	0,46	0,44	0,63	-0,04	-0,07	-0,02	2368,35	2367	2367
117	12154	21,5	77003	-0,13	-0,2	0,92	0,46	0,43	0,64	-0,04	-0,06	-0,03	2367,67	2367	2367
118	12198	21,5	77001	-0,1	-0,23	0,88	0,47	0,43	0,64	-0,04	-0,06	-0,03	2367,9	2367	2367
119	12249	21,5	76992	-0,11	-0,25	0,95	0,47	0,43	0,65	-0,04	-0,07	-0,03	2368,91	2367	2367
120	12297	21,5	77011	-0,12	-0,17	0,91	0,47	0,43	0,66	-0,04	-0,07	-0,03	2366,78	2368	2368
121	12341	21,5	77015	-0,14	-0,2	0,91	0,47	0,43	0,67	-0,04	-0,06	-0,03	2366,33	2368	2368
122	12384	21,5	77001	-0,14	-0,16	0,91	0,48	0,43	0,67	-0,04	-0,06	-0,03	2367,9	2368	2368
123	12428	21,5	77008	-0,12	-0,18	0,89	0,48	0,43	0,68	-0,04	-0,07	-0,02	2367,11	2368	2368
124	12471	21,5	77008	-0,14	-0,18	0,92	0,48	0,43	0,69	-0,04	-0,06	-0,03	2367,11	2368	2368
125	12525	21,5	76994	-0,14	-0,17	0,85	0,49	0,43	0,69	-0,04	-0,07	-0,03	2368,68	2367	2367
126	12567	21,5	77003	-0,1	-0,19	0,92	0,49	0,43	0,69	-0,04	-0,06	-0,03	2367,67	2368	2368
127	12611	21,5	77003	-0,13	-0,21	0,93	0,49	0,43	0,7	-0,05	-0,06	-0,03	2367,67	2368	2368
128	12654	21,5	77005	-0,12	-0,19	0,95	0,5	0,42	0,7	-0,04	-0,07	-0,03	2367,45	2367	2367
129	12697	21,5	77008	-0,16	-0,18	0,85	0,5	0,42	0,71	-0,04	-0,06	-0,03	2367,11	2367	2367
130	12741	21,5	77000	-0,12	-0,13	0,88	0,5	0,42	0,71	-0,05	-0,06	-0,03	2368,01	2368	2368
131	12790	21,5	77015	-0,12	-0,18	0,88	0,51	0,42	0,72	-0,05	-0,06	-0,03	2366,33	2368	2368
132	12833	21,5	77008	-0,13	-0,22	0,87	0,51	0,42	0,73	-0,04	-0,06	-0,03	2367,11	2368	2368
133	12877	21,5	77005	-0,08	-0,19	0,95	0,52	0,42	0,74	-0,04	-0,06	-0,03	2367,45	2368	2368
134	12920	21,5	77011	-0,13	-0,14	1,01	0,52	0,42	0,74	-0,04	-0,06	-0,03	2366,78	2367	2367
135	12963	21,5	77005	-0,14	-0,2	0,84	0,53	0,41	0,75	-0,04	-0,06	-0,03	2367,45	2367	2367
136	13012	21,5	77008	-0,16	-0,07	0,95	0,53	0,41	0,76	-0,04	-0,06	-0,03	2367,11	2367	2367
137	13057	21,5	77008	-0,18	-0,19	0,98	0,54	0,42	0,76	-0,04	-0,07	-0,02	2367,11	2367	2367
138	13112	21,5	77000	-0,1	-0,24	0,9	0,54	0,47	0,76	-0,04	-0,06	-0,02	2368,01	2367	2367
139	13167	21,5	77000	-0,09	-0,24	0,88	0,54	0,47	0,77	-0,05	-0,06	-0,02	2368,01	2367	2367
140	13211	21,5	76992	-0,08	-0,17	0,89	0,55	0,47	0,78	-0,04	-0,07	-0,03	2368,91	2367	2367
141	13260	21,5	76997	-0,09	-0,17	0,92	0,55	0,47	0,78	-0,04	-0,07	-0,03	2368,35	2368	2368
142	13303	21,5	76997	-0,03	-0,21	0,99	0,55	0,47	0,79	-0,04	-0,06	-0,03	2368,35	2368	2368
143	13346	21,5	77008	-0,12	-0,18	0,93	0,56	0,46	0,79	-0,04	-0,06	-0,02	2367,11	2368	2368
144	13390	21,5	77005	-0,1	-0,19	0,94	0,56	0,46	0,8	-0,04	-0,06	-0,03	2367,45	2368	2368
145	13433	21,5	77008	-0,08	-0,25	0,98	0,56	0,46	0,8	-0,04	-0,06	-0,03	2367,11	2368	2368
146	13483	21,5	77003	-0,16	-0,11	0,93	0,57	0,46	0,81	-0,04	-0,06	-0,03	2367,67	2368	2368
147	13527	21,5	77005	-0,16	-0,16	0,97	0,58	0,46	0,82	-0,04	-0,06	-0,03	2367,45	2368	2368
148	13570	21,5	77008	-0,13	-0,14	0,91	0,58	0,46	0,82	-0,05	-0,06	-0,03	2367,11	2368	2368
149	13613	21,5	76997	-0,19	-0,19	0,92	0,58	0,46	0,83	-0,04	-0,07	-0,03	2368,35	2368	2368
150	13657	21,5	76997	-0,19	-0,13	0,88	0,58	0,46	0,83	-0,04	-0,07	-0,03	2368,35	2368	2368
151	13706	21,5	77005	-0,11	-0,12	0,98	0,59	0,46	0,84	-0,04	-0,06	-0,03	2367,45	2368	2368
152	13749	21,5	77005	-0,08	-0,2	0,93	0,59	0,46	0,84	-0,04	-0,06	-0,02	2367,45	2368	2368
153	13793	21,5	76995	-0,15	-0,16	0,96	0,59	0,46	0,85	-0,04	-0,07	-0,02	2368,57	2368	2368
154	13836	21,5	76991	-0,13	-0,2	0,91	0,6	0,46	0,85	-0,04	-0,06	-0,03	2369,02	2368	2368
155	13880	21,5	76991	-0,2	-0,15	0,88	0,6	0,46	0,85	-0,04	-0,06	-0,02	2369,02	2368	2368
156	13929	21,5	77005	-0,11	-0,2	0,94	0,61	0,46	0,86	-0,04	-0,06	-0,02	2367,45	2368	2368
157	13977	21,5	77003	-0,16	-0,23	0,93	0,62	0,46	0,86	-0,05	-0,06	-0,03	2367,67	2368	2368
158	14028	21,5	76999	-0,15	-0,17	0,99	0,62	0,46	0,86	-0,04	-0,06	-0,03	2368,12	2368	2368
159	14071	21,5	77003	-0,13	-0,17	0,85	0,62	0,46	0,87	-0,04	-0,06	-0,03	2367,67	2368	2368
160	14114	21,5	77005	-0,15	-0,2	0,93	0,63	0,45	0,88	-0,05	-0,06	-0,03	2367,45	2368	2368
161	14163	21,5	76999	-0,16	-0,22	0,99	0,63	0,45	0,88	-0,04	-0,06	-0,03	2368,12	2368	2368
162	14208	21,5	77003	-0,13	-0,25	0,88	0,63	0,45	0,88	-0,04	-0,07	-0,03	2367,67	2368	2368
163	14251	21,5	77008	-0,12	-0,18	0,91	0,64	0,45	0,88	-0,05	-0,06	-0,03	2367,11	2368	2368
164	14295	21,5	77008	-0,13	-0,2	1,07	0,64	0,45	0,89	-0,05	-0,06	-0,03	2367,11	2368	2368
165	14338	21,5	76999	-0,1	-0,22	0,96	0,64	0,45	0,9	-0,04	-0,06	-0,03	2368,12	2368	2368
166	14399	21,5	76994	-0,19	-0,13	0,94	0,65	0,45	0,9	-0,04	-0,07	-0,03	2368,68	2368	2368
167	14442	21,5	77001	-0,1	-0,2	0,91	0,65	0,45	0,9	-0,04	-0,06	-0,03	2367,9	2368	2368
168	14486	21,5	77000	-0,15	-0,18	0,93	0,66	0,45	0,92	-0,04	-0,06	-0,03	2368,01	2368	2368
169	14529	21,5	76991	-0,05	-0,19	1,03	0,66	0,45	0,92	-0,05	-0,06	-0,03	2369,02	2368	2368
170	14572	21,5	77008	-0,15	-0,16	0,95	0,66	0,45	0,93	-0,04	-0,07	-0,03	2367,11	2368	2368
171	14616	21,5	76994	-0,13	-0,18	0,9	0,67	0,45	0,93	-0,04	-0,06	-0,02	2368,68	2368	2368
172	14665	21,5	76999	-0,1	-0,25	0,85	0,67	0,45	0,94	-0,04	-0,06	-0,03	2368,12	2368	2368
173	14708	21,5	76993	-0,1	-0,25	0,9	0,67	0,45	0,95	-0,05	-0,06	-0,03	2368,8	2368	2368
174	14752	21,5	77000	-0,09	-0,2	0,91	0,67	0,44	0,95	-0,04	-0,06	-0,02	2368,01	2368	2368
175	14800	21,5	76994	-0,14	-0,19	0,91	0,68	0,44	0,96	-0,04	-0,06	-0,03	2368,68	2368	2368
176	14844	21,5	76999	-0,11	-0,26	0,89	0,68	0,44	0,96	-0,04	-0,06	-0,03	2368,12	2368	2368
177	14894	21,5	76993	-0,21	-0,23	0,95	0,69	0,44	0,96	-0,04	-0,06	-0,02	2368,8	2368	2368
178	14937	21,5	76999	-0,09	-0,21	0,92	0,69	0,44	0,97	-0,05	-0,06	-0,03	2368,12	2368	2368
179	14981	21,5	76999	-0,16	-0,09	0,9	0,7	0,44	0,97	-0,04	-0,07	-0,03	2368,12	2368	2368
180	15024	21,5	76997	-0,16	-0,16	0,98	0,7	0,44	0,98	-0,04	-0,06	-0,03	2368,35	2368	2368
181	15068	21,5	77005	-0,12	-0,15	0,84	0,71	0,44	0,99	-0,05	-0,06	-0,03	2367,45	2368	2368
182	15117	21,5	77001	-0,14	-0,13	0,86	0,71	0,44	1	-0,04	-0,07	-0,03	2367,9	2368	2368
183	15160	21,5	76999	-0,1	-0,15	1	0,71	0,44	1	-0,04	-0,07	-0,03	2368,12	2368	2368
184	15203	21,5	77001	-0,14	-0,23	0,91	0,72	0,44	1,05	-0,04	-0,06	-0,03	2367,9	2368	2368
185	15247	21,5	77001	-0,12	-0,2	0,9	0,72	0,44	1,05	-0,04	-0,06	-0,02	2367,9	2368	2368
186	15290	21,5	76998	-0,12	-0,2	0,93	0,73	0,44	1,06	-0,04	-0,06	-0,03	2368,23	2368	2368
187	15339	21,5	77001	-0,13	-0,19	1,05	0,73	0,44	1,06	-0,04	-0,06	-0,03	2367,9	2368	2368
188	15388	21,5	76991	-0,13	-0,21	0,98	0,73	0,44	1,06	-0,04	-0,06	-0,03	2369,02	2368	2368
189	15431	21,5	76998	-0,12	-0,22	0,93	0,73	0,44	1,07	-0,04	-0,06	-0,03	2368,23	2368	2368
190	15475	21,5	76999	-0,16	-0,18	0,92	0,74	0,48	1,07	-0,05	-0,06	-0,03	2368,12	2368	2368
191	15518	21,5	77001	-0,1	-0,16	0,88	0,74	0,42	1,08	-0,05	-0,07	-0,03	2367,9	2368	2368
192	15567	21,5	77007	-0,11	-0,2	0,96	0,75	0,43	1,08	-0,04	-0,07	-0,03	2367,23	2368	2368
193	15611	21,5	76997	-0,14	-0,17	0,91	0,75	0,43	1,09	-0,04	-0,06	-0,03	2368,35	2368	2368
194	15667	21,5	77001	-0,1	-0,16	0,93	0,75	0,43	1,09	-0,05	-0,06	-0,03	2367,9	2368	2368
195	15710	21,5	77001	-0,07	-0,18	0,91	0,76	0,43	1,1	-0,04	-0,07	-0,02	2367,9	2368	2368
196	15754	21,5	76995	-0,1	-0,23	0,91	0,76	0,47	1,1	-0,04	-0,06	-0,03	2368,57	2368	2368
197	15810	21,5	77001	-0,11	-0,16	0,99	0,77	0,47	1,11	-0,04	-0,06	-0,03	2367,9	2368	2368
198	15853	21,5	76998	-0,12	-0,17	0,95	0,77	0,47	1,11	-0,05	-0,06	-0,03	2368,23	2368	2368
199	15897	21,5	76995	-0,13	-0,18	0,93	0,78	0,52	1,12	-0,04	-0,07	-0,03	2368,57	2368	2368
200	15940	21,5	76998	-0,1	-0,22	0,91	0,78	0,52	1,12	-0,04	-0,07	-0,03	2368,23	2368	2368
201	15983	21,5	77001	-0,15	-0,16	0,92	0,79	0,52	1,13	-0,04	-0,06	-0,02	2367,9	2368	2368
202	16032	21,5	76990	-0,12	-0,2	0,93	0,79	0,52	1,14	-0,05	-0,06	-0,03	2369,13	2368	2368
203	16075	21,5	76995	-0,1	-0,2	0,9	0,79	0,52	1,14	-0,05	-0,06	-0,03	2368,57	2368	2368
204	16119	21,5	76993	-0,13	-0,16	0,95	0,8	0,51	1,15	-0,04	-0,06	-0,02	2368,8	2368	2368
205	16162	21,5	76995	-0,12	-0,16	0,95	0,8	0,51	1,15	-0,04	-0,06	-0,03	2368,57	2368	2368
206	16206	21,5	77001	-0,15	-0,17	0,89	0,8	0,52	1,16	-0,05	-0,06	-0,03	2367,9	2369	2369
207	16253	21,5	77001	-0,08	-0,23	0,88	0,81	0,52	1,16	-0,05	-0,06	-0,02	2367,9	2368	2368
208	16296	21,5	77001	-0,14	-0,1	0,87	0,81	0,52	1,17	-0,04	-0,06	-0,03	2367,9	2368	2368
209	16340	21,5	77001	-0,09	-0,2	0,95	0,82	0,52	1,17	-0,04	-0,06	-0,02	2367,9	2368	2368
210	16384	21,6	77015	-0,22	-0,1	0,89	0,82	0,57	1,18	-0,04	-0,06	-0,02	2367,13	2368	2368
211	16432	21,6	77012	-0,1	-0,21	0,98	0,83	0,62	1,18	-0,05	-0,06	-0,03	2367,47	2368	2368
212	16476	21,5	76998	-0,12	-0,11	0,88	0,83	0,62	1,18	-0,04	-0,06	-0,03	2368,23	2368	2368
213	16525	21,6	77021	-0,08	-0,17	0,91	0,83	0,62	1,19	-0,04	-0,06	-0,02	2366,46	2368	2368
214	16568	21,5	76998	-0,09	-0,2	0,87	0,84	0,62	1,2	-0,04	-0,06	-0,03	2368,23	2368	2368
215	16612	21,5	76998	-0,16	-0,21	0,97	0,84	0,62	1,21	-0,05	-0,06	-0,03	2368,23	2368	2368
216	16655	21,5	77001	-0,12	-0,17	0,92	0,85	0,62	1,22	-0,04	-0,06	-0,03	2367,9	2368	2368
217	16698	21,5	76998	-0,1	-0,22	0,99	0,85	0,62	1,22	-0,04	-0,06	-0,03	2368,23	2368	2368
